Worker_refined,repo_refined,Coding Effort,"Month, Day, Year of Date"
eky,PLS,5,7/17/2015
xid,JIV,0,7/17/2015
mff,HFQ,0,7/17/2015
fcq,MEY,0,7/17/2015
jps,KGD,0,7/17/2015
pti,GSE,0,7/17/2015
mgz,MNT,2.49,7/17/2015
mgz,QRO,2.5,7/17/2015
ykm,DWF,5,7/17/2015
xao,JNQ,0.06,7/17/2015
fhj,EEX,0.32,7/17/2015
fhj,OBZ,4.67,7/17/2015
iqr,WQD,5,7/17/2015
rqy,MQB,0,7/17/2015
stw,MQB,0,7/17/2015
ymp,TOT,2.36,7/17/2015
ymp,MXP,2.63,7/17/2015
moe,XWQ,0,7/17/2015
vbf,JID,5,7/17/2015
tiu,HEL,5,7/17/2015
arg,OQJ,2.51,7/17/2015
agp,FKJ,5,7/17/2015
aig,OCG,5,7/17/2015
mus,GIZ,5,7/17/2015
adi,LZH,5,7/17/2015
sli,HEL,0,7/17/2015
lna,JFO,0,7/17/2015
rpe,FAB,0,7/17/2015
crj,KAM,5,7/17/2015
aob,GRN,0,7/17/2015
kwb,PPY,0,7/17/2015
gez,KGD,5,7/17/2015
opt,GIG,0,7/17/2015
ard,XFB,0,7/17/2015
bjp,PTK,0,7/17/2015
gek,TZA,0,7/17/2015
lhe,WKP,5,7/17/2015
tbr,FYL,4.7,7/17/2015
tbr,WPN,0.29,7/17/2015
dbs,BTX,0,7/17/2015
bjx,NKC,5,7/17/2015
lws,IBW,5,7/17/2015
qjv,DTE,0,7/17/2015
hgv,OOT,0,7/17/2015
xzb,PTK,0,7/17/2015
jkg,GRN,5,7/17/2015
ler,DCM,0,7/17/2015
fhl,GXP,5,7/17/2015
nkl,KGD,0.08,7/17/2015
nkl,FOE,0,7/17/2015
nkl,YBF,0.54,7/17/2015
nkl,PLT,4.37,7/17/2015
ktt,XEP,0,7/17/2015
amp,NOG,0,7/17/2015
jio,VPP,5,7/17/2015
alq,UKF,0,7/17/2015
dth,CUI,0,7/17/2015
hxd,UKA,0,7/17/2015
vxn,XNU,5,7/17/2015
uwk,UZB,0,7/17/2015
hlm,YJQ,5,7/17/2015
phw,HWK,0,7/17/2015
ilq,FJV,5.26,7/17/2015
okn,QQS,2.04,7/17/2015
dsd,UAO,0,7/17/2015
zde,HFQ,5,7/17/2015
jzz,DCM,0,7/17/2015
aax,FYL,0,7/17/2015
inu,KGD,0,7/17/2015
exf,CRD,0,7/17/2015
zhb,CUI,0,7/17/2015
nhy,GFY,3.59,7/17/2015
cnu,HFQ,0,7/17/2015
dsj,RSO,5,7/17/2015
mcd,PTK,5,7/17/2015
ata,MNT,2.5,7/17/2015
ata,QRO,2.49,7/17/2015
jtb,BEK,0,7/17/2015
clj,MBV,5,7/17/2015
ujg,DCM,5,7/17/2015
msg,IRT,0,7/17/2015
muy,MWP,0,7/17/2015
qcy,TEK,5.03,7/17/2015
dup,RRO,0,7/17/2015
pck,DLZ,5,7/17/2015
ioc,LZH,5,7/17/2015
nwd,UZB,5,7/17/2015
pnr,YZE,5,7/17/2015
gqe,TGC,0,7/17/2015
god,YEV,5,7/17/2015
dgq,YEV,0,7/17/2015
ogc,USJ,1.99,7/17/2015
jjv,YEV,0,7/17/2015
gsx,GVQ,0,7/17/2015
tln,FYL,5,7/17/2015
tln,BRM,0,7/17/2015
qol,AXX,0,7/17/2015
qol,XSF,0,7/17/2015
iid,DRF,5,7/17/2015
xtb,MZA,5,7/17/2015
qud,UAO,0,7/17/2015
uwz,EVY,0,7/17/2015
kce,HFQ,5,7/17/2015
nbq,XBV,5,7/17/2015
eyj,DQY,5,7/17/2015
kqv,CUI,0,7/17/2015
all,JXW,0,7/17/2015
tfr,MBV,5,7/17/2015
nbi,JID,5,7/17/2015
shg,HEL,5,7/17/2015
qgo,IPL,5,7/17/2015
znn,POX,0,7/17/2015
xsi,MGE,4.03,7/17/2015
xsi,JWZ,0.96,7/17/2015
ycs,YDX,0,7/17/2015
cuy,JXW,5,7/17/2015
anj,SPG,0,7/17/2015
lxn,JIV,0,7/17/2015
lxn,MRX,3.36,7/17/2015
lxn,LSY,1.63,7/17/2015
yly,MBV,0,7/17/2015
nmx,FYL,0.01,7/17/2015
nmx,PHM,4.98,7/17/2015
edo,PNJ,0,7/17/2015
hju,RKW,0,7/17/2015
csg,LZH,5,7/17/2015
qjx,GSE,5,7/17/2015
hdg,XXW,0.03,7/17/2015
eav,KFR,5,7/17/2015
edc,TEK,0,7/17/2015
tng,BKC,5,7/17/2015
kfs,FHJ,5,7/17/2015
rap,KGD,0,7/17/2015
zvc,VKK,0,7/17/2015
okm,HFQ,5,7/17/2015
ksh,XHS,5,7/17/2015
zzr,CUI,0,7/17/2015
tda,KVM,5,7/17/2015
ird,TKR,0,7/17/2015
maz,LZH,0,7/17/2015
cwe,KGD,0,7/17/2015
hvb,TQG,5,7/17/2015
dfb,ZOD,5,7/17/2015
yxb,PNJ,0,7/17/2015
qbw,FFK,0,7/17/2015
doq,XKI,5,7/17/2015
doq,RXS,0,7/17/2015
bzb,TEK,5,7/17/2015
oux,JHS,5,7/17/2015
auc,RLM,0,7/17/2015
vrl,CRD,0,7/17/2015
wsa,COH,5,7/17/2015
zqe,JXW,0,7/17/2015
wov,HBL,5.15,7/17/2015
hlc,KFR,0,7/17/2015
rve,GJS,0.9,7/17/2015
rve,VPH,1.07,7/17/2015
snc,KGD,2.72,7/17/2015
snc,YBF,2.02,7/17/2015
snc,PLT,0.24,7/17/2015
kiw,XBV,5,7/17/2015
coj,GNX,0,7/17/2015
cge,KGD,0,7/17/2015
hjk,GPW,5,7/17/2015
bht,CLC,0,7/17/2015
vbv,BEK,5,7/17/2015
ejr,DZF,5,7/17/2015
xdr,CUI,5,7/17/2015
gqw,UAO,0,7/17/2015
nac,AOZ,0,7/17/2015
pcl,ETU,0,7/17/2015
vil,XWQ,5,7/17/2015
ypy,YEV,5,7/17/2015
lgl,QHG,0,7/17/2015
tge,XBV,5,7/17/2015
kzs,KAM,5,7/17/2015
vaz,IIO,0,7/17/2015
jsy,KXK,0,7/17/2015
ckz,KGD,0.94,7/17/2015
ckz,VKA,2.72,7/17/2015
ckz,PKU,1.32,7/17/2015
ddm,JIV,0,7/17/2015
sko,GSE,5,7/17/2015
nvf,YEV,5,7/17/2015
wzs,FVQ,0,7/17/2015
xiq,FVQ,0,7/17/2015
djg,KGD,0.24,7/17/2015
djg,FKJ,0.22,7/17/2015
djg,FOE,0.09,7/17/2015
djg,TJB,4.42,7/17/2015
pgy,MRX,5,7/17/2015
fgi,WEH,0,7/17/2015
vie,WAU,0,7/17/2015
mwu,UKF,0,7/17/2015
cxi,LZH,5,7/17/2015
wae,OOT,5,7/17/2015
djs,BEK,0,7/17/2015
ppd,PHU,5,7/17/2015
oit,GRV,0,7/17/2015
cxy,WEH,1.19,7/17/2015
dve,KHL,5,7/17/2015
ukv,CUI,3.38,7/17/2015
owg,BEL,0,7/17/2015
cuq,NHK,0,7/17/2015
cuq,DVC,0,7/17/2015
jmh,DQZ,5,7/17/2015
tvm,BEL,0,7/17/2015
yow,FMI,0,7/17/2015
oix,BZI,5,7/17/2015
qvc,HFQ,4.77,7/17/2015
min,COH,5,7/17/2015
iwn,DKD,5,7/17/2015
ell,FAB,0,7/17/2015
czt,ZSI,0,7/17/2015
jcm,LZH,0,7/17/2015
pnx,RSI,0,7/17/2015
vpq,RLM,0,7/17/2015
clm,THG,5,7/17/2015
tel,OOT,0,7/17/2015
vwl,CUI,0.48,7/17/2015
vwl,AIQ,4.51,7/17/2015
xev,HFQ,0,7/17/2015
uda,DKD,5,7/17/2015
ojj,HFQ,0,7/17/2015
lyn,VNV,0,7/17/2015
arl,PRP,0,7/17/2015
njq,AQE,0,7/17/2015
jci,AKZ,1.44,7/17/2015
uam,KHL,0,7/17/2015
enq,UZB,0,7/17/2015
iuv,LDN,5,7/17/2015
rva,LJR,0,7/17/2015
erj,HFQ,2.96,7/17/2015
wwe,HJD,0,7/17/2015
iwo,FST,0,7/17/2015
hrg,KGD,5,7/17/2015
zcf,UAO,5,7/17/2015
rlj,ZZK,0,7/17/2015
ywo,ZZO,0,7/17/2015
plp,GYL,5,7/17/2015
jpg,PTK,1.97,7/17/2015
jpg,TTM,2.33,7/17/2015
fpq,GYL,0,7/17/2015
gqd,RKW,0,7/17/2015
ucv,HSS,0,7/17/2015
wfg,UKA,0,7/17/2015
lnl,UKA,0,7/17/2015
jxo,UKF,0,7/17/2015
ojq,QMH,0,7/17/2015
bwv,RXS,5,7/17/2015
gcs,FGR,0,7/17/2015
oyf,NKC,5,7/17/2015
fjw,HEL,3.57,7/17/2015
zlg,CUI,0,7/17/2015
bxd,YGF,0,7/17/2015
mdu,VNH,4.17,7/17/2015
mdu,TXY,0.82,7/17/2015
cyc,OOT,0,7/17/2015
ehe,FPE,0,7/17/2015
mal,IPL,3.6,7/17/2015
fsc,COH,0,7/17/2015
bch,YHM,1.82,7/17/2015
bch,IWY,3.17,7/17/2015
hsh,HMF,0,7/17/2015
mou,HFQ,5,7/17/2015
jex,QGD,0,7/17/2015
jex,KUF,5,7/17/2015
nyz,UTL,5,7/17/2015
hhy,QXO,0.98,7/17/2015
stt,XBV,0,7/17/2015
eix,FPM,5,7/17/2015
xnf,LZH,0,7/17/2015
thd,LZH,0,7/17/2015
zjj,DKD,0.99,7/17/2015
kyi,DQZ,5,7/17/2015
atq,HFQ,0,7/17/2015
kpt,JYX,5,7/17/2015
agw,LHC,5,7/17/2015
nfd,ZVN,4.47,7/17/2015
spl,HFQ,0,7/17/2015
qbo,NMU,4.16,7/17/2015
qbo,VRS,0.83,7/17/2015
azj,ZVN,5,7/17/2015
jla,JHS,0,7/17/2015
tud,HFQ,0,7/17/2015
nja,ZZP,0,7/17/2015
cem,OOT,5,7/17/2015
cfd,FYL,5,7/17/2015
hnm,HEL,0,7/17/2015
xnq,MCW,5,7/17/2015
vab,LJG,5,7/17/2015
qja,KGD,0,7/17/2015
qrw,OOT,0,7/17/2015
nco,WTS,5,7/17/2015
qwa,LHC,5,7/17/2015
ycf,DKD,0,7/17/2015
qjm,EGO,0,7/17/2015
jtu,LZH,5,7/17/2015
cdv,XKI,5,7/17/2015
ydd,LHC,0,7/17/2015
fxm,OOT,0,7/17/2015
hrq,PYN,0,7/17/2015
qfq,XJW,5,7/17/2015
qev,FKJ,4.94,7/17/2015
qev,MGE,0.05,7/17/2015
mjk,DCM,0,7/17/2015
gav,GMW,0,7/17/2015
gtb,WPN,5,7/17/2015
gfb,XAS,0,7/17/2015
zbz,UAO,0,7/17/2015
hxh,DCN,0,7/17/2015
qkb,PYN,0,7/17/2015
cnh,YEV,5,7/17/2015
cnh,GRV,0,7/17/2015
cxv,LHX,5,7/17/2015
cxv,DCN,0,7/17/2015
euu,PYN,0,7/17/2015
vpt,TSE,4.99,7/17/2015
vpt,ILN,0,7/17/2015
pmn,HFQ,0,7/17/2015
vlp,OOT,5,7/17/2015
lgb,XIZ,5,7/17/2015
cor,IKT,0,7/17/2015
oca,AOZ,0,7/17/2015
vcm,SNL,5.09,7/17/2015
khu,VOF,0,7/17/2015
wbx,FRR,5,7/17/2015
xxm,IPL,0,7/17/2015
uwe,JYX,0,7/17/2015
bqr,KGD,5,7/17/2015
bxu,FYL,0,7/17/2015
bmp,VPP,5,7/17/2015
unx,HEL,0,7/17/2015
sjg,CUI,0,7/17/2015
iep,CRD,0,7/17/2015
ani,VRS,0,7/17/2015
awk,NKC,0,7/17/2015
ynq,YEV,5,7/17/2015
fsa,XBV,5,7/17/2015
vep,XBV,5,7/17/2015
wef,FYL,0,7/17/2015
coi,LHC,4.35,7/17/2015
coi,HMN,0.63,7/17/2015
coi,EQU,0.01,7/17/2015
msn,TEK,0,7/17/2015
wxq,FRR,5,7/17/2015
ntg,JID,4.57,7/17/2015
cul,YEV,5,7/17/2015
bkh,FBM,0,7/17/2015
bkh,HVO,0,7/17/2015
bkh,DZF,0,7/17/2015
ocd,AOZ,0,7/17/2015
dds,BKU,5,7/17/2015
rks,MNT,0,7/17/2015
qxh,FRR,2.85,7/17/2015
qxh,NTQ,2.14,7/17/2015
aaz,KGD,5,7/17/2015
flf,NOJ,5,7/17/2015
gkj,JGG,4.38,7/17/2015
xle,DKD,0.87,7/17/2015
znx,OWW,0,7/17/2015
wch,QPP,3.01,7/17/2015
wch,JJP,1.98,7/17/2015
jbo,CQO,4.31,7/17/2015
jbo,IDP,0.26,7/17/2015
jbo,LHC,0.14,7/17/2015
jbo,AES,0.27,7/17/2015
jqt,SFT,1.59,7/17/2015
jqt,PJF,3.4,7/17/2015
cnd,GPW,5,7/17/2015
oij,KGD,0,7/17/2015
qbt,GIG,2.61,7/17/2015
tnp,FKJ,1,7/17/2015
tnp,JWZ,3.99,7/17/2015
mpl,HFQ,5,7/17/2015
qdt,JIV,0,7/17/2015
vbe,ZTD,0,7/17/2015
jsj,BEK,5,7/17/2015
xyu,XBV,0,7/17/2015
pec,SBM,5,7/17/2015
hzx,NBJ,5,7/17/2015
kbc,XWQ,0,7/17/2015
qvy,YTT,5,7/17/2015
bvk,AOZ,0,7/17/2015
ein,KSD,0,7/17/2015
eev,ZZO,0,7/17/2015
axr,GSE,0,7/17/2015
amf,LZH,1.06,7/17/2015
sly,ZVR,0,7/17/2015
eun,YZT,0,7/17/2015
nen,EZU,0,7/17/2015
aah,KNU,0,7/17/2015
gfl,THG,5,7/17/2015
jxq,XNP,0,7/17/2015
hcs,XBV,5,7/17/2015
pqg,YPU,5,7/17/2015
oxv,YEV,5,7/17/2015
xza,FKJ,1.18,7/17/2015
xza,WQD,0.31,7/17/2015
xza,SFS,3.5,7/17/2015
weq,LJR,0,7/17/2015
ywg,NZT,5,7/17/2015
rzz,FCO,0,7/17/2015
xso,HFQ,5,7/17/2015
hmj,RRC,5,7/17/2015
cck,JIV,0,7/17/2015
mvb,GPW,0,7/17/2015
qzg,OOT,0,7/17/2015
win,HIW,0,7/17/2015
kto,AAJ,0,7/17/2015
kto,ZAJ,0,7/17/2015
ial,COH,5,7/17/2015
yoc,VGS,5,7/17/2015
zrq,PYN,0,7/17/2015
zrq,EGL,0,7/17/2015
oez,QQS,0,7/17/2015
sjo,XBV,0,7/17/2015
aqh,XBV,5,7/17/2015
vlz,HFQ,0,7/17/2015
ywd,FPM,5,7/17/2015
pze,HFQ,5,7/17/2015
dqw,NBX,0,7/17/2015
bhc,HSS,0,7/17/2015
iyb,DRF,5,7/17/2015
nbm,MQB,0,7/17/2015
xks,DLZ,5,7/17/2015
iwq,FPM,0,7/17/2015
rdu,ZTD,0,7/17/2015
cfb,XWQ,0,7/17/2015
bsj,CQO,2.78,7/17/2015
bsj,LHC,2.21,7/17/2015
ico,WEH,0,7/17/2015
jux,PLS,0,7/17/2015
var,TEK,5,7/17/2015
zjk,GKD,0,7/17/2015
rqt,KGD,5,7/17/2015
cpf,TEK,0,7/17/2015
fpj,HEL,0,7/17/2015
voq,HEL,0,7/17/2015
lre,DSZ,0,7/17/2015
ohl,NXZ,5,7/17/2015
xzn,NWC,5,7/17/2015
cvg,SHR,5,7/17/2015
kgt,EVF,2.55,7/17/2015
kgt,EFF,1.55,7/17/2015
kgt,JNA,0.88,7/17/2015
kgt,DUP,0,7/17/2015
hir,OWL,5,7/17/2015
zzc,FHJ,5,7/17/2015
ndo,XWQ,0,7/17/2015
ffk,OJG,5,7/17/2015
hgu,FKJ,5,7/17/2015
ing,OQJ,2.54,7/17/2015
fhf,XBV,5,7/17/2015
pdf,VUM,0,7/17/2015
fcs,FJV,4.53,7/17/2015
smj,SHR,0,7/17/2015
uen,XWQ,5,7/17/2015
wgk,GYI,0,7/17/2015
wgk,WTN,0,7/17/2015
aem,COH,5,7/17/2015
nrc,PAW,0,7/17/2015
bnq,KHL,0,7/17/2015
nqk,GPW,5,7/17/2015
bsk,JID,5,7/17/2015
zrb,LJR,5,7/17/2015
amd,TEK,5,7/17/2015
iru,JIV,2.94,7/17/2015
wrp,HAR,0,7/17/2015
bdn,MRX,5,7/17/2015
ndc,TEK,5,7/17/2015
nel,SBM,0,7/17/2015
uzx,ZZO,0,7/17/2015
yyk,TLN,5,7/17/2015
ybl,DQZ,0,7/17/2015
dld,PCS,0,7/17/2015
wjj,KFR,5,7/17/2015
syg,KGD,0,7/17/2015
pyd,TEK,0,7/17/2015
rov,YST,0,7/17/2015
hor,BEK,5,7/17/2015
zva,XWQ,5,7/17/2015
fwo,DKD,0,7/17/2015
ovd,TCX,5,7/17/2015
ydl,THG,0,7/17/2015
ovy,OWL,0,7/17/2015
ovy,VQT,5,7/17/2015
hft,YEV,5,7/17/2015
zhw,OOT,0,7/17/2015
lsk,DDY,1.86,7/17/2015
lsk,PBZ,3.13,7/17/2015
rnw,LZH,0,7/17/2015
unv,JHS,5,7/17/2015
kjj,UKA,0,7/17/2015
hkd,PTK,0,7/17/2015
tmn,CRG,0,7/17/2015
ruc,JXW,5,7/17/2015
tnb,EUQ,0,7/17/2015
ilb,LZH,0,7/17/2015
kcc,EUQ,0,7/17/2015
fdc,XWQ,0,7/17/2015
lua,EEE,0,7/17/2015
rtm,QZO,0,7/17/2015
tcb,GXP,5,7/17/2015
xqj,NFF,5,7/17/2015
xuc,JXW,5,7/17/2015
rzo,HFQ,0,7/17/2015
way,PXD,5,7/17/2015
tvt,WPN,5,7/17/2015
yrl,RXS,5,7/17/2015
wtu,KFR,0.65,7/17/2015
wtu,DRO,0.52,7/17/2015
gpi,RLM,5,7/17/2015
fpx,OOT,0,7/17/2015
tuy,KHL,5,7/17/2015
jfg,XKI,0,7/17/2015
onw,ETZ,5,7/17/2015
swe,XWQ,0,7/17/2015
pma,FCO,4.78,7/17/2015
bxo,MNT,2.5,7/17/2015
bxo,QRO,2.5,7/17/2015
nom,EUQ,0,7/17/2015
mko,XWQ,5,7/17/2015
tvb,AOZ,0,7/17/2015
ues,GRV,0,7/17/2015
iaa,AQV,5,7/17/2015
tqw,YEV,5,7/17/2015
ulw,FKJ,5,7/17/2015
jbw,FYL,5,7/17/2015
kpi,SIB,0,7/17/2015
prl,QCN,5,7/17/2015
avf,XQB,5,7/17/2015
urp,KPH,5,7/17/2015
cgb,HJD,2.94,7/17/2015
kqg,XWQ,5,7/17/2015
hzy,FKJ,5,7/17/2015
tdr,YPU,5,7/17/2015
btr,BSO,5,7/17/2015
nir,XQB,5,7/17/2015
kbi,MEY,0,7/17/2015
rxt,SXE,0,7/17/2015
eap,EQA,0,7/17/2015
hej,RSO,5,7/17/2015
fui,OOL,0,7/17/2015
eih,LDN,5,7/17/2015
khw,BZY,0,7/17/2015
khw,GUG,0,7/17/2015
lkm,LJR,5,7/17/2015
iuy,JFO,5,7/17/2015
aep,MRX,5,7/17/2015
kpz,UWJ,0,7/17/2015
uzk,FCO,5,7/17/2015
rvo,HFQ,5,7/17/2015
roy,MNT,2.6,7/17/2015
roy,QRO,2.39,7/17/2015
ftx,AXX,1.83,7/17/2015
ftx,XSF,3.16,7/17/2015
bfz,OQA,0,7/17/2015
xoc,CIC,0,7/17/2015
xoc,VMW,4.99,7/17/2015
ciw,ETJ,0,7/17/2015
tzp,MRX,5,7/17/2015
ahj,RRC,5,7/17/2015
zsp,HIS,0,7/17/2015
paz,JYE,3.66,7/17/2015
paz,ETV,1.33,7/17/2015
pht,DQZ,5,7/17/2015
vbl,XQP,5,7/17/2015
kgu,WMQ,0,7/17/2015
uin,WMQ,5,7/17/2015
ciu,SIB,0,7/17/2015
igq,ETU,4.99,7/17/2015
igq,XNV,0,7/17/2015
tsl,GSE,0,7/17/2015
jqy,HWK,0,7/17/2015
lpv,LZH,5,7/17/2015
obz,IFO,0,7/17/2015
obz,XVS,0,7/17/2015
lto,IRT,0.86,7/17/2015
xrt,DQZ,1.29,7/17/2015
xrt,JYX,3.7,7/17/2015
hov,FAB,0,7/17/2015
ldh,IFO,2.11,7/17/2015
ldh,XVS,2.88,7/17/2015
dnf,TEK,0,7/17/2015
lvh,QFH,5,7/17/2015
iwz,UEP,0,7/17/2015
gid,XWQ,5,7/17/2015
gzf,GRV,0,7/17/2015
jid,APY,0.92,7/17/2015
mxk,UAO,0,7/17/2015
oeq,WMQ,0,7/17/2015
soy,MRX,5,7/17/2015
soq,DKD,0,7/17/2015
yok,DKD,5,7/17/2015
yok,ZTD,0,7/17/2015
pdy,JYL,0,7/17/2015
ber,EBB,0,7/17/2015
lsl,LZH,5,7/17/2015
fpk,GRN,0,7/17/2015
nxr,FFN,1.55,7/17/2015
nxr,IJV,2.37,7/17/2015
nxr,JHB,0.02,7/17/2015
nxr,EVH,1.05,7/17/2015
rsg,LZH,5,7/17/2015
ywe,LJR,5,7/17/2015
fye,WSG,0,7/17/2015
eeq,HXY,0.23,7/17/2015
btw,LJR,5,7/17/2015
xgw,LQX,0,7/17/2015
mbb,UZB,5,7/17/2015
nti,MEY,5,7/17/2015
bls,KHL,0,7/17/2015
shu,VOX,5,7/17/2015
pem,RRO,5,7/17/2015
flc,HCY,0,7/17/2015
mml,ZVN,5,7/17/2015
jvf,HIS,5,7/17/2015
gun,SHI,0,7/17/2015
ous,IFB,0,7/17/2015
kbq,XHS,0,7/17/2015
qlf,WPT,5,7/17/2015
qbd,OGF,5,7/17/2015
jxs,AOZ,5,7/17/2015
tsy,DQY,1.36,7/17/2015
vgc,DQZ,0,7/17/2015
txs,XHS,0,7/17/2015
kwk,WQD,0,7/17/2015
gqb,ZZO,0,7/17/2015
xfy,XHS,5,7/17/2015
vqr,ZJJ,5,7/17/2015
imz,LBE,5,7/17/2015
isw,GYI,1.82,7/17/2015
isw,WTN,3.17,7/17/2015
yuo,ZEL,5,7/17/2015
pnd,JID,0,7/17/2015
soi,MWG,0.7,7/17/2015
soi,YGW,1.21,7/17/2015
soi,MFW,0.68,7/17/2015
soi,NYX,0.7,7/17/2015
nkq,DKD,0,7/17/2015
usj,HJR,5,7/17/2015
ypv,REA,3.39,7/17/2015
ypv,RXS,1.6,7/17/2015
eej,GIZ,0,7/17/2015
afi,HEL,5,7/17/2015
idy,GIG,0,7/17/2015
weo,XHS,1.34,7/17/2015
weo,XWQ,3.65,7/17/2015
zel,NJQ,5,7/17/2015
ywu,JIV,0,7/17/2015
vjk,VBG,0,7/17/2015
rvs,GIZ,5,7/17/2015
tcc,SMD,0.82,7/17/2015
tcc,VUM,4.17,7/17/2015
mhp,UWF,0,7/17/2015
utm,DQZ,5,7/17/2015
vzc,DQZ,0,7/17/2015
roz,TZR,0,7/17/2015
oen,UEP,0,7/17/2015
bdp,BKW,0,7/17/2015
ejb,LZH,5,7/17/2015
xxd,OQA,0,7/17/2015
uuq,YAM,5,7/17/2015
bnj,QZO,0,7/17/2015
rms,MCW,3.23,7/17/2015
rms,NSF,1.76,7/17/2015
hux,LSL,0,7/17/2015
duf,LJJ,5,7/17/2015
smz,UIM,3.14,7/17/2015
sjj,APY,0,7/17/2015
nml,GRM,0,7/17/2015
cmb,CUI,0,7/17/2015
jee,NBJ,0,7/17/2015
hrh,YEV,5,7/17/2015
jzd,YEV,5,7/17/2015
qgv,RIP,0,7/17/2015
wla,ZVR,5,7/17/2015
drh,TJB,5,7/17/2015
iyi,XBV,5,7/17/2015
zgw,FPM,5,7/17/2015
kva,AOZ,0,7/17/2015
srl,XJW,5,7/17/2015
qvt,HSS,0,7/17/2015
obr,ZZO,5,7/17/2015
lzd,QEB,0,7/17/2015
eak,KGD,5,7/17/2015
elt,DQZ,5,7/17/2015
mxz,CUI,5.18,7/17/2015
jcs,DKD,4.15,7/17/2015
apl,BEK,0,7/17/2015
tpo,TSZ,5,7/17/2015
izl,EEX,2.34,7/17/2015
izl,OBZ,2.65,7/17/2015
jgx,DQZ,5,7/17/2015
ohq,YEV,5,7/17/2015
cno,BKW,0,7/17/2015
wtc,BEL,5,7/17/2015
hzm,OOT,5,7/17/2015
pon,DKD,4.97,7/17/2015
vnz,HIS,0,7/17/2015
vnz,KGO,0,7/17/2015
pey,UYG,0,7/17/2015
zzs,XWQ,5,7/17/2015
iuj,PJF,0,7/17/2015
aij,QAT,0,7/17/2015
pao,ICW,4.44,7/17/2015
pao,VHN,0.55,7/17/2015
pao,BCW,0,7/17/2015
cdb,ICW,5,7/17/2015
xzs,LJR,2.96,7/17/2015
but,YZT,0,7/17/2015
ptn,KGD,5,7/17/2015
iqk,HEL,3.83,7/17/2015
blc,DKD,2.89,7/17/2015
blc,ZTD,2.1,7/17/2015
lkc,NOG,5,7/17/2015
ksb,LJG,5,7/17/2015
xjz,UVE,0,7/17/2015
ihi,QVR,2.36,7/17/2015
agk,XUY,1.2,7/17/2015
agk,TJK,2.84,7/17/2015
kdw,HIS,0,7/17/2015
hsi,LZH,0,7/17/2015
deu,KAM,5,7/17/2015
deu,MNG,0,7/17/2015
deu,ECK,0,7/17/2015
hlj,YEV,5,7/17/2015
jih,XKI,0,7/17/2015
tmu,HCY,0,7/17/2015
ejw,FPE,1.28,7/17/2015
ejw,OFI,3.71,7/17/2015
gex,GXB,0,7/17/2015
qbk,NKC,5,7/17/2015
uwa,YEV,5,7/17/2015
vul,PAW,0,7/17/2015
aow,SDV,0,7/17/2015
skk,FKJ,5,7/17/2015
mut,KPH,0,7/17/2015
vll,PCS,0,7/17/2015
bfc,NJQ,0,7/17/2015
qay,LSY,0,7/17/2015
pqi,TAC,0,7/17/2015
iqh,HBL,2.26,7/17/2015
lzf,IWY,3.76,7/17/2015
lzf,WMS,1.23,7/17/2015
fbn,YAM,5,7/17/2015
sij,GMY,0,7/17/2015
wfj,PLS,0,7/17/2015
bfu,ZVN,0,7/17/2015
eyq,CWM,3.99,7/17/2015
eyq,JJP,1,7/17/2015
blk,KGD,5,7/17/2015
ygb,ILC,0,7/17/2015
gis,LJG,5,7/17/2015
wvm,GON,5,7/17/2015
mtz,LSY,0,7/17/2015
dsc,VEX,5,7/17/2015
rhg,BZZ,0,7/17/2015
zzu,QCN,0,7/17/2015
yrt,UCA,5,7/17/2015
alm,GYL,5,7/17/2015
yrm,LZH,2.28,7/17/2015
brg,XJW,5,7/17/2015
ydi,XIH,5,7/17/2015
agq,HFQ,0,7/17/2015
qwp,OIU,5,7/17/2015
xir,JXW,4.71,7/17/2015
xir,HJR,0.15,7/17/2015
xir,JBQ,0.07,7/17/2015
xir,SVV,0.02,7/17/2015
xir,FNZ,0.02,7/17/2015
kji,YAM,0,7/17/2015
tbg,HSS,5,7/17/2015
bzw,QXO,1.39,7/17/2015
xvr,MEY,4.36,7/17/2015
edb,ZWL,5,7/17/2015
zsb,CQO,0,7/17/2015
mpo,USA,0.81,7/17/2015
tcf,HFQ,5,7/17/2015
hro,ZTC,5,7/17/2015
ige,IRT,5,7/17/2015
ezh,HEL,0,7/17/2015
muw,LZH,0,7/17/2015
rvr,DJV,5.27,7/17/2015
mvc,KXB,0,7/17/2015
ede,WHY,0,7/17/2015
azv,DCM,4.88,7/17/2015
fwn,HTV,3.39,7/17/2015
fwn,ZOI,1.6,7/17/2015
yhe,JIV,0,7/17/2015
fig,APY,5,7/17/2015
zgd,MNP,1.78,7/17/2015
zgd,ICW,3.21,7/17/2015
zyt,HEL,0,7/17/2015
dta,JIV,0,7/17/2015
tbk,BFF,0,7/17/2015
xoj,HEL,5,7/17/2015
zsf,TSE,5,7/17/2015
kcu,UAO,5,7/17/2015
lvs,HJR,0,7/17/2015
yqs,QMH,2.92,7/17/2015
yqs,WQD,2.07,7/17/2015
cig,HBL,5,7/17/2015
zin,HEL,5,7/17/2015
bdv,NHF,2.44,7/17/2015
lvv,BTX,0,7/17/2015
fzy,BTX,0,7/17/2015
ycx,DCM,4.79,7/17/2015
oxr,CGE,5,7/17/2015
vpx,MRX,0,7/17/2015
tgg,UZB,5,7/17/2015
ccn,HEL,0,7/17/2015
